WKT;no
POLYGON ((135 43.3333333333333,135 44,136 44,136 43.3333333333333,135 43.3333333333333));6535
POLYGON ((136 43.3333333333333,136 44,137 44,137 43.3333333333333,136 43.3333333333333));6536
POLYGON ((137 43.3333333333333,137 44,138 44,138 43.3333333333333,137 43.3333333333333));6537
POLYGON ((138 43.3333333333333,138 44,139 44,139 43.3333333333333,138 43.3333333333333));6538
POLYGON ((139 43.3333333333333,139 44,140 44,140 43.3333333333333,139 43.3333333333333));6539
POLYGON ((140 43.3333333333333,140 44,141 44,141 43.3333333333333,140 43.3333333333333));6540
POLYGON ((141 43.3333333333333,141 44,142 44,142 43.3333333333333,141 43.3333333333333));6541
POLYGON ((142 43.3333333333333,142 44,143 44,143 43.3333333333333,142 43.3333333333333));6542
POLYGON ((143 43.3333333333333,143 44,144 44,144 43.3333333333333,143 43.3333333333333));6543
POLYGON ((144 43.3333333333333,144 44,145 44,145 43.3333333333333,144 43.3333333333333));6544
POLYGON ((145 43.3333333333333,145 44,146 44,146 43.3333333333333,145 43.3333333333333));6545
POLYGON ((146 43.3333333333333,146 44,147 44,147 43.3333333333333,146 43.3333333333333));6546
POLYGON ((147 43.3333333333333,147 44,148 44,148 43.3333333333333,147 43.3333333333333));6547
POLYGON ((148 43.3333333333333,148 44,149 44,149 43.3333333333333,148 43.3333333333333));6548
POLYGON ((149 43.3333333333333,149 44,150 44,150 43.3333333333333,149 43.3333333333333));6549
POLYGON ((150 43.3333333333333,150 44,151 44,151 43.3333333333333,150 43.3333333333333));6550
POLYGON ((151 43.3333333333333,151 44,152 44,152 43.3333333333333,151 43.3333333333333));6551
POLYGON ((152 43.3333333333333,152 44,153 44,153 43.3333333333333,152 43.3333333333333));6552
POLYGON ((153 43.3333333333333,153 44,154 44,154 43.3333333333333,153 43.3333333333333));6553
POLYGON ((154 43.3333333333333,154 44,,,154 43.3333333333333));6554
POLYGON ((122 42.6666666666667,122 43.3333333333333,123 43.3333333333333,123 42.6666666666667,122 42.6666666666667));6422
POLYGON ((123 42.6666666666667,123 43.3333333333333,124 43.3333333333333,124 42.6666666666667,123 42.6666666666667));6423
POLYGON ((124 42.6666666666667,124 43.3333333333333,125 43.3333333333333,125 42.6666666666667,124 42.6666666666667));6424
POLYGON ((125 42.6666666666667,125 43.3333333333333,126 43.3333333333333,126 42.6666666666667,125 42.6666666666667));6425
POLYGON ((126 42.6666666666667,126 43.3333333333333,127 43.3333333333333,127 42.6666666666667,126 42.6666666666667));6426
POLYGON ((127 42.6666666666667,127 43.3333333333333,128 43.3333333333333,128 42.6666666666667,127 42.6666666666667));6427
POLYGON ((128 42.6666666666667,128 43.3333333333333,129 43.3333333333333,129 42.6666666666667,128 42.6666666666667));6428
POLYGON ((129 42.6666666666667,129 43.3333333333333,130 43.3333333333333,130 42.6666666666667,129 42.6666666666667));6429
POLYGON ((130 42.6666666666667,130 43.3333333333333,131 43.3333333333333,131 42.6666666666667,130 42.6666666666667));6430
POLYGON ((131 42.6666666666667,131 43.3333333333333,132 43.3333333333333,132 42.6666666666667,131 42.6666666666667));6431
POLYGON ((132 42.6666666666667,132 43.3333333333333,133 43.3333333333333,133 42.6666666666667,132 42.6666666666667));6432
POLYGON ((133 42.6666666666667,133 43.3333333333333,134 43.3333333333333,134 42.6666666666667,133 42.6666666666667));6433
POLYGON ((134 42.6666666666667,134 43.3333333333333,135 43.3333333333333,135 42.6666666666667,134 42.6666666666667));6434
POLYGON ((135 42.6666666666667,135 43.3333333333333,136 43.3333333333333,136 42.6666666666667,135 42.6666666666667));6435
POLYGON ((136 42.6666666666667,136 43.3333333333333,137 43.3333333333333,137 42.6666666666667,136 42.6666666666667));6436
POLYGON ((137 42.6666666666667,137 43.3333333333333,138 43.3333333333333,138 42.6666666666667,137 42.6666666666667));6437
POLYGON ((138 42.6666666666667,138 43.3333333333333,139 43.3333333333333,139 42.6666666666667,138 42.6666666666667));6438
POLYGON ((139 42.6666666666667,139 43.3333333333333,140 43.3333333333333,140 42.6666666666667,139 42.6666666666667));6439
POLYGON ((140 42.6666666666667,140 43.3333333333333,141 43.3333333333333,141 42.6666666666667,140 42.6666666666667));6440
POLYGON ((141 42.6666666666667,141 43.3333333333333,142 43.3333333333333,142 42.6666666666667,141 42.6666666666667));6441
POLYGON ((142 42.6666666666667,142 43.3333333333333,143 43.3333333333333,143 42.6666666666667,142 42.6666666666667));6442
POLYGON ((143 42.6666666666667,143 43.3333333333333,144 43.3333333333333,144 42.6666666666667,143 42.6666666666667));6443
POLYGON ((144 42.6666666666667,144 43.3333333333333,145 43.3333333333333,145 42.6666666666667,144 42.6666666666667));6444
POLYGON ((145 42.6666666666667,145 43.3333333333333,146 43.3333333333333,146 42.6666666666667,145 42.6666666666667));6445
POLYGON ((146 42.6666666666667,146 43.3333333333333,147 43.3333333333333,147 42.6666666666667,146 42.6666666666667));6446
POLYGON ((147 42.6666666666667,147 43.3333333333333,148 43.3333333333333,148 42.6666666666667,147 42.6666666666667));6447
POLYGON ((148 42.6666666666667,148 43.3333333333333,149 43.3333333333333,149 42.6666666666667,148 42.6666666666667));6448
POLYGON ((149 42.6666666666667,149 43.3333333333333,150 43.3333333333333,150 42.6666666666667,149 42.6666666666667));6449
POLYGON ((150 42.6666666666667,150 43.3333333333333,151 43.3333333333333,151 42.6666666666667,150 42.6666666666667));6450
POLYGON ((151 42.6666666666667,151 43.3333333333333,152 43.3333333333333,152 42.6666666666667,151 42.6666666666667));6451
POLYGON ((152 42.6666666666667,152 43.3333333333333,153 43.3333333333333,153 42.6666666666667,152 42.6666666666667));6452
POLYGON ((153 42.6666666666667,153 43.3333333333333,154 43.3333333333333,154 42.6666666666667,153 42.6666666666667));6453
POLYGON ((154 42.6666666666667,154 43.3333333333333,,,154 42.6666666666667));6454
POLYGON ((122 42,122 42.6666666666667,123 42.6666666666667,123 42,122 42));6322
POLYGON ((123 42,123 42.6666666666667,124 42.6666666666667,124 42,123 42));6323
POLYGON ((124 42,124 42.6666666666667,125 42.6666666666667,125 42,124 42));6324
POLYGON ((125 42,125 42.6666666666667,126 42.6666666666667,126 42,125 42));6325
POLYGON ((126 42,126 42.6666666666667,127 42.6666666666667,127 42,126 42));6326
POLYGON ((127 42,127 42.6666666666667,128 42.6666666666667,128 42,127 42));6327
POLYGON ((128 42,128 42.6666666666667,129 42.6666666666667,129 42,128 42));6328
POLYGON ((129 42,129 42.6666666666667,130 42.6666666666667,130 42,129 42));6329
POLYGON ((130 42,130 42.6666666666667,131 42.6666666666667,131 42,130 42));6330
POLYGON ((131 42,131 42.6666666666667,132 42.6666666666667,132 42,131 42));6331
POLYGON ((132 42,132 42.6666666666667,133 42.6666666666667,133 42,132 42));6332
POLYGON ((133 42,133 42.6666666666667,134 42.6666666666667,134 42,133 42));6333
POLYGON ((134 42,134 42.6666666666667,135 42.6666666666667,135 42,134 42));6334
POLYGON ((135 42,135 42.6666666666667,136 42.6666666666667,136 42,135 42));6335
POLYGON ((136 42,136 42.6666666666667,137 42.6666666666667,137 42,136 42));6336
POLYGON ((137 42,137 42.6666666666667,138 42.6666666666667,138 42,137 42));6337
POLYGON ((138 42,138 42.6666666666667,139 42.6666666666667,139 42,138 42));6338
POLYGON ((139 42,139 42.6666666666667,140 42.6666666666667,140 42,139 42));6339
POLYGON ((140 42,140 42.6666666666667,141 42.6666666666667,141 42,140 42));6340
POLYGON ((141 42,141 42.6666666666667,142 42.6666666666667,142 42,141 42));6341
POLYGON ((142 42,142 42.6666666666667,143 42.6666666666667,143 42,142 42));6342
POLYGON ((143 42,143 42.6666666666667,144 42.6666666666667,144 42,143 42));6343
POLYGON ((144 42,144 42.6666666666667,145 42.6666666666667,145 42,144 42));6344
POLYGON ((145 42,145 42.6666666666667,146 42.6666666666667,146 42,145 42));6345
POLYGON ((146 42,146 42.6666666666667,147 42.6666666666667,147 42,146 42));6346
POLYGON ((147 42,147 42.6666666666667,148 42.6666666666667,148 42,147 42));6347
POLYGON ((148 42,148 42.6666666666667,149 42.6666666666667,149 42,148 42));6348
POLYGON ((149 42,149 42.6666666666667,150 42.6666666666667,150 42,149 42));6349
POLYGON ((150 42,150 42.6666666666667,151 42.6666666666667,151 42,150 42));6350
POLYGON ((151 42,151 42.6666666666667,152 42.6666666666667,152 42,151 42));6351
POLYGON ((152 42,152 42.6666666666667,153 42.6666666666667,153 42,152 42));6352
POLYGON ((153 42,153 42.6666666666667,154 42.6666666666667,154 42,153 42));6353
POLYGON ((154 42,154 42.6666666666667,,,154 42));6354
POLYGON ((122 41.3333333333333,122 42,123 42,123 41.3333333333333,122 41.3333333333333));6222
POLYGON ((123 41.3333333333333,123 42,124 42,124 41.3333333333333,123 41.3333333333333));6223
POLYGON ((124 41.3333333333333,124 42,125 42,125 41.3333333333333,124 41.3333333333333));6224
POLYGON ((125 41.3333333333333,125 42,126 42,126 41.3333333333333,125 41.3333333333333));6225
POLYGON ((126 41.3333333333333,126 42,127 42,127 41.3333333333333,126 41.3333333333333));6226
POLYGON ((127 41.3333333333333,127 42,128 42,128 41.3333333333333,127 41.3333333333333));6227
POLYGON ((128 41.3333333333333,128 42,129 42,129 41.3333333333333,128 41.3333333333333));6228
POLYGON ((129 41.3333333333333,129 42,130 42,130 41.3333333333333,129 41.3333333333333));6229
POLYGON ((130 41.3333333333333,130 42,131 42,131 41.3333333333333,130 41.3333333333333));6230
POLYGON ((131 41.3333333333333,131 42,132 42,132 41.3333333333333,131 41.3333333333333));6231
POLYGON ((132 41.3333333333333,132 42,133 42,133 41.3333333333333,132 41.3333333333333));6232
POLYGON ((133 41.3333333333333,133 42,134 42,134 41.3333333333333,133 41.3333333333333));6233
POLYGON ((134 41.3333333333333,134 42,135 42,135 41.3333333333333,134 41.3333333333333));6234
POLYGON ((135 41.3333333333333,135 42,136 42,136 41.3333333333333,135 41.3333333333333));6235
POLYGON ((136 41.3333333333333,136 42,137 42,137 41.3333333333333,136 41.3333333333333));6236
POLYGON ((137 41.3333333333333,137 42,138 42,138 41.3333333333333,137 41.3333333333333));6237
POLYGON ((138 41.3333333333333,138 42,139 42,139 41.3333333333333,138 41.3333333333333));6238
POLYGON ((139 41.3333333333333,139 42,140 42,140 41.3333333333333,139 41.3333333333333));6239
POLYGON ((140 41.3333333333333,140 42,141 42,141 41.3333333333333,140 41.3333333333333));6240
POLYGON ((141 41.3333333333333,141 42,142 42,142 41.3333333333333,141 41.3333333333333));6241
POLYGON ((142 41.3333333333333,142 42,143 42,143 41.3333333333333,142 41.3333333333333));6242
POLYGON ((143 41.3333333333333,143 42,144 42,144 41.3333333333333,143 41.3333333333333));6243
POLYGON ((144 41.3333333333333,144 42,145 42,145 41.3333333333333,144 41.3333333333333));6244
POLYGON ((145 41.3333333333333,145 42,146 42,146 41.3333333333333,145 41.3333333333333));6245
POLYGON ((146 41.3333333333333,146 42,147 42,147 41.3333333333333,146 41.3333333333333));6246
POLYGON ((147 41.3333333333333,147 42,148 42,148 41.3333333333333,147 41.3333333333333));6247
POLYGON ((148 41.3333333333333,148 42,149 42,149 41.3333333333333,148 41.3333333333333));6248
POLYGON ((149 41.3333333333333,149 42,150 42,150 41.3333333333333,149 41.3333333333333));6249
POLYGON ((150 41.3333333333333,150 42,151 42,151 41.3333333333333,150 41.3333333333333));6250
POLYGON ((151 41.3333333333333,151 42,152 42,152 41.3333333333333,151 41.3333333333333));6251
POLYGON ((152 41.3333333333333,152 42,153 42,153 41.3333333333333,152 41.3333333333333));6252
POLYGON ((153 41.3333333333333,153 42,154 42,154 41.3333333333333,153 41.3333333333333));6253
POLYGON ((154 41.3333333333333,154 42,,,154 41.3333333333333));6254
POLYGON ((122 40.6666666666667,122 41.3333333333333,123 41.3333333333333,123 40.6666666666667,122 40.6666666666667));6122
POLYGON ((123 40.6666666666667,123 41.3333333333333,124 41.3333333333333,124 40.6666666666667,123 40.6666666666667));6123
POLYGON ((124 40.6666666666667,124 41.3333333333333,125 41.3333333333333,125 40.6666666666667,124 40.6666666666667));6124
POLYGON ((125 40.6666666666667,125 41.3333333333333,126 41.3333333333333,126 40.6666666666667,125 40.6666666666667));6125
POLYGON ((126 40.6666666666667,126 41.3333333333333,127 41.3333333333333,127 40.6666666666667,126 40.6666666666667));6126
POLYGON ((127 40.6666666666667,127 41.3333333333333,128 41.3333333333333,128 40.6666666666667,127 40.6666666666667));6127
POLYGON ((128 40.6666666666667,128 41.3333333333333,129 41.3333333333333,129 40.6666666666667,128 40.6666666666667));6128
POLYGON ((129 40.6666666666667,129 41.3333333333333,130 41.3333333333333,130 40.6666666666667,129 40.6666666666667));6129
POLYGON ((130 40.6666666666667,130 41.3333333333333,131 41.3333333333333,131 40.6666666666667,130 40.6666666666667));6130
POLYGON ((131 40.6666666666667,131 41.3333333333333,132 41.3333333333333,132 40.6666666666667,131 40.6666666666667));6131
POLYGON ((132 40.6666666666667,132 41.3333333333333,133 41.3333333333333,133 40.6666666666667,132 40.6666666666667));6132
POLYGON ((133 40.6666666666667,133 41.3333333333333,134 41.3333333333333,134 40.6666666666667,133 40.6666666666667));6133
POLYGON ((134 40.6666666666667,134 41.3333333333333,135 41.3333333333333,135 40.6666666666667,134 40.6666666666667));6134
POLYGON ((135 40.6666666666667,135 41.3333333333333,136 41.3333333333333,136 40.6666666666667,135 40.6666666666667));6135
POLYGON ((136 40.6666666666667,136 41.3333333333333,137 41.3333333333333,137 40.6666666666667,136 40.6666666666667));6136
POLYGON ((137 40.6666666666667,137 41.3333333333333,138 41.3333333333333,138 40.6666666666667,137 40.6666666666667));6137
POLYGON ((138 40.6666666666667,138 41.3333333333333,139 41.3333333333333,139 40.6666666666667,138 40.6666666666667));6138
POLYGON ((139 40.6666666666667,139 41.3333333333333,140 41.3333333333333,140 40.6666666666667,139 40.6666666666667));6139
POLYGON ((140 40.6666666666667,140 41.3333333333333,141 41.3333333333333,141 40.6666666666667,140 40.6666666666667));6140
POLYGON ((141 40.6666666666667,141 41.3333333333333,142 41.3333333333333,142 40.6666666666667,141 40.6666666666667));6141
POLYGON ((142 40.6666666666667,142 41.3333333333333,143 41.3333333333333,143 40.6666666666667,142 40.6666666666667));6142
POLYGON ((143 40.6666666666667,143 41.3333333333333,144 41.3333333333333,144 40.6666666666667,143 40.6666666666667));6143
POLYGON ((144 40.6666666666667,144 41.3333333333333,145 41.3333333333333,145 40.6666666666667,144 40.6666666666667));6144
POLYGON ((145 40.6666666666667,145 41.3333333333333,146 41.3333333333333,146 40.6666666666667,145 40.6666666666667));6145
POLYGON ((146 40.6666666666667,146 41.3333333333333,147 41.3333333333333,147 40.6666666666667,146 40.6666666666667));6146
POLYGON ((147 40.6666666666667,147 41.3333333333333,148 41.3333333333333,148 40.6666666666667,147 40.6666666666667));6147
POLYGON ((148 40.6666666666667,148 41.3333333333333,149 41.3333333333333,149 40.6666666666667,148 40.6666666666667));6148
POLYGON ((149 40.6666666666667,149 41.3333333333333,150 41.3333333333333,150 40.6666666666667,149 40.6666666666667));6149
POLYGON ((150 40.6666666666667,150 41.3333333333333,151 41.3333333333333,151 40.6666666666667,150 40.6666666666667));6150
POLYGON ((151 40.6666666666667,151 41.3333333333333,152 41.3333333333333,152 40.6666666666667,151 40.6666666666667));6151
POLYGON ((152 40.6666666666667,152 41.3333333333333,153 41.3333333333333,153 40.6666666666667,152 40.6666666666667));6152
POLYGON ((153 40.6666666666667,153 41.3333333333333,154 41.3333333333333,154 40.6666666666667,153 40.6666666666667));6153
POLYGON ((154 40.6666666666667,154 41.3333333333333,,,154 40.6666666666667));6154
POLYGON ((122 40,122 40.6666666666667,123 40.6666666666667,123 40,122 40));6022
POLYGON ((123 40,123 40.6666666666667,124 40.6666666666667,124 40,123 40));6023
POLYGON ((124 40,124 40.6666666666667,125 40.6666666666667,125 40,124 40));6024
POLYGON ((125 40,125 40.6666666666667,126 40.6666666666667,126 40,125 40));6025
POLYGON ((126 40,126 40.6666666666667,127 40.6666666666667,127 40,126 40));6026
POLYGON ((127 40,127 40.6666666666667,128 40.6666666666667,128 40,127 40));6027
POLYGON ((128 40,128 40.6666666666667,129 40.6666666666667,129 40,128 40));6028
POLYGON ((129 40,129 40.6666666666667,130 40.6666666666667,130 40,129 40));6029
POLYGON ((130 40,130 40.6666666666667,131 40.6666666666667,131 40,130 40));6030
POLYGON ((131 40,131 40.6666666666667,132 40.6666666666667,132 40,131 40));6031
POLYGON ((132 40,132 40.6666666666667,133 40.6666666666667,133 40,132 40));6032
POLYGON ((133 40,133 40.6666666666667,134 40.6666666666667,134 40,133 40));6033
POLYGON ((134 40,134 40.6666666666667,135 40.6666666666667,135 40,134 40));6034
POLYGON ((135 40,135 40.6666666666667,136 40.6666666666667,136 40,135 40));6035
POLYGON ((136 40,136 40.6666666666667,137 40.6666666666667,137 40,136 40));6036
